Record #,Label_UPC,Nielsen  Item Rank UPC,Nieslen Category,Label Description,Brand,Manufacturer,Country,Package Size,Package Size UofM,Number of Units,Storage Type,Storage Statements,Collection Date,Health Claims,Nutrient Claims,Other Package Statements,Suggested  Use/Directions,Ingredients,Multipart ?,Nutrition Facts Table,Common Household Measure,Per Serving Amount,Per Serving UofM,Per Serving Amount as PPD,Per Serving Amount As PPD UofM,PerServing Energy (kcal),Per Serving Energy (kcal) as PPD,PerServing Energy (kJ),PerServing Energy (kJ) as PPD,Fat PerServing (g),Fat % DV ,Fat % DV as PPD,Fat (Saturated) PerServing (g),Fat (Trans) PerServing (g),Fat (Saturated + Trans) % DV,Fat (Saturated + Trans) % DV as PPD,Fats (Polyunsaturated) PerServing (g),Fats (Omega-6 Polyinsaturated) PerServing (g),Fats (Omega-3 Polyinsaturated) PerServing (g),Fats (Monounsaturated) PerServing (g),Carbohydrates PerServing  (g),Carbohydrates % DV ,Carbohydrates % DV as PPD , Fibre PerServing (g),Fibre % DV ,Fibre % DV as PPD,Fibre (soluble) PerServing (g),Fibre (insoluble)PerServing (g),Sugar (Total) PerServing (g),Sugar (Total) % DV,Sugar (Total) % DV as PPD,Sugar (Alchols) PerServing (g),Starch  PerServing (g), Protein PerServing (g),Cholesterol PerServing  (mg),Cholesterol % DV,Cholesterol % DV as PPD, Sodium PerServing (mg), Sodium % DV, Sodium % DV as PPD,Potassium PerServing (mg),Potassium % DV,Potassium % DV as PPD,Calcium PerServing (mg),Calcium  % DV,Calcium  % DV as PPD,Iron PerServing (mg),Iron % DV,Iron % DV as PPD,Vitamin A PerServing (um),Vitamin A % DV,Vitamin A % DV as PPD,Vitamin C PerServing (mg),Vitamin C % DV,Vitamin C % DV as PPD,Vitamin D PerServing (um),Vitamin D % DV,Vitamin D % DV as PPD,Vitamin E PerServing (mg),Vitamin E % DV,Vitamin E % DV as PPD,Vitamin K PerServing (ug),Vitamin K % DV,Vitamin K % DV as PPD,Thiamine PerServing (mg),Thiamine % DV,Thiamine % DV as PPD,Riboflavin PerServing (mg),Riboflavin % DV,Riboflavin % DV as PPD,Niacin PerServing (mg),Niacin % DV,Niacin % DV as PPD,Vitamin B6 PerServing (mg),Vitamin B6 % DV,Vitamin B6 % DV as PPD,Folate PerServing (ug),Folate % DV,Folate % DV as PPD,Vitamin B12 PerServing (ug),Vitamin B12 % DV,Vitamin B12 % DV as PPD,Biotin PerServing (ug),Biotin % DV,Biotin % DV as PPD,Choline PerServing (mg),Choline % DV,Choline % DV as PPD,Pantothenate PerServing (mg),Pantothenate % DV,Pantothenate % DV as PPD,Phosphorus PerServing (mg),Phosphorus % DV,Phosphorus % DV as PPD,Iodide PerServing (ug),Iodide % DV,Iodide % DV as PPD,Magnesium PerServing (mg),Magnesium % DV,Magnesium % DV as PPD,Zinc PerServing (mg),Zinc % DV,Zinc % DV as PPD,Selenium PerServing (ug),Selenium % DV,Selenium % DV as PPD,Copper PerServing (mg) ,Copper % DV,Copper % DV as PPD,Manganese PerServing (mg),Manganese % DV,Manganese % DV as PPD,Chromium PerServing (ug),Chromium % DV,Chromium % DV as PPD,Molybdenum PerServing (ug),Molybdenum % DV,Molybdenum % DV as PPD,Chloride PerServing (mg),Chloride % DV,Chloride % DV as PPD,Per Serving Amount in Grams,Per Serving Amount in Grams as PPD,Comment,Source,Product Description
93,063211191608,6321119160,SOUP,Campbell's Ready to Serve Soup Light Classic Chicken Noodle 540 ml,Campbell's,"Campbell Company of Canada
60 Birmingham Street
Toronto Ontario M8V 2B8",Canada,540,mL,,Ambient,Refrigerate unused portions promptly,2016-04-13,,,"Light 25% less calories than our regular variety
70 calories per serving
No artificial colours or flavours","Do not add water. : General : Cooking Instructions
Microwave: Heat, covered in a microwaveable bowl on High for 2-4 minutes. Stir before serving. : From Ambient : Microwave
Stove Top: Heat and serve. : From Ambient : Hob","Chicken broth (water, chicken stock),Seasoned chicken (soy),Carrots,Celery,Egg noodles (wheat flour, whole egg, egg white),Flavour (milk),Modified corn starch,Chicken fat,Carrot juice concentrate,Yeast extract,Potassium chloride (salt substitute),Salt,Onion powder,Spices,Sea salt,Dehydrated garlic,Parsley flakes,Ascorbic and citric acid,Beta carotene",,"Per 250 mL
Calories: 70,Fat : 2 g,Saturated: 0.5 g,+ Trans: 0 g,Cholesterol : 10 mg,Sodium : 480 mg,Carbohydrate : 6 g,Fibre : 1 g,Sugars : 2 g,Protein : 6 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat : 3 %,Saturated: 3 %,+ Trans,Cholesterol ,Sodium : 20 %,Carbohydrate : 2 %,Fibre : 4 %,Sugars ,Protein ,Vitamin A: 6 %,Vitamin C: 0 %,Calcium: 2 %,Iron: 4 %",Per 250 mL,250,mL,,,70,,,,2,3,,0.5,0,3,,,,,,6,2,,1,4,,,,2,,,,,6,10,,,480,20,,,,,,2,,,4,,,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,,Nielsen,
94,063211191639,6321119163,SOUP,Campbell's Ready to Serve Soup Light Cream of Mushroom 540 ml,Campbell's,"Campbell Company of Canada
60 Birmingham Street
Toronto Ontario M8V 2B8",Canada,540,mL,,Ambient,Refrigerate unused portions promptly,2016-04-13,,,"Light 25% less calories
40% less fat than our regular variety
No artificial colours or flavours","Do not add water. : General : Cooking Instructions
Microwave: Heat, covered in a microwaveable bowl on high for 2-4 minutes. Stir before serving. : From Ambient : Microwave
Stove Top: Heat and serve. : From Ambient : Hob","Water,Mushrooms,Canola or soybean oil,Wheat flour,Cream (milk),Modified corn starch,Flavour (contains chicken),Yeast extract,Salt,Soy protein concentrate,Potassium chloride (salt substitute),Buttermilk powder,Seasoning",,"Per 250 mL
Calories: 160,Fat : 12 g,Saturated: 2 g,+ Trans: 0.1 g,Cholesterol : 5 mg,Sodium : 480 mg,Carbohydrate : 10 g,Fibre : 2 g,Sugars : 1 g,Protein : 3 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat : 18 %,Saturated: 11 %,+ Trans,Cholesterol ,Sodium : 20 %,Carbohydrate : 3 %,Fibre : 8 %,Sugars ,Protein ,Vitamin A: 0 %,Vitamin C: 0 %,Calcium: 2 %,Iron: 4 %",Per 250 mL,250,mL,,,160,,,,12,18,,2,0.1,11,,,,,,10,3,,2,8,,,,1,,,,,3,5,,,480,20,,,,,,2,,,4,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,,Nielsen,
95,063211104103,6321110410,SOUP,Campbell's Ready to Serve Soup New England Clam Chowder 540 ml,Campbell's,"Campbell Company of Canada
60 Birmingham Street
Toronto Ontario M8V 2B8",Canada,540,mL,,Ambient,Refrigerate unused portions promptly,2016-04-13,,,No artificial colours or flavours,"Do not add water. : General : Cooking Instructions
Heat, covered in a microwaveable bowl on high for 2-4 minutes. Stir before serving. : From Ambient : Microwave
Stove Top: heat and serve. : From Ambient : Other","Clam broth (water, clam stock),Potatoes,Canola or soybean oil,Seasoned clams,Celery,Modified corn starch,Wheat flour,Salt,Soy protein isolate,Monosodium glutamate,Chicken flavour,Flavour (milk, cod),Dehydrated onions,Sugar,Spices,Disodium guanylate,Disodium inosinate,Yeast extract,Parsley flakes",,"Per 250 mL
Calories: 200,Fat : 14 g,Saturated: 2 g,+ Trans : 0.1 g,Cholesterol : 5 mg,Sodium : 870 mg,Carbohydrate : 15 g,Fibre : 2 g,Sugars : 1 g,Protein : 4 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat : 22 %,Saturated: 11 %,+ Trans ,Cholesterol ,Sodium : 36 %,Carbohydrate : 5 %,Fibre : 8 %,Sugars ,Protein ,Vitamin A: 0 %,Vitamin C: 0 %,Calcium: 2 %,Iron: 6 %",Per 250 mL,250,mL,,,200,,,,14,22,,2,0.1,11,,,,,,15,5,,2,8,,,,1,,,,,4,5,,,870,36,,,,,,2,,,6,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,,Nielsen,
96,063211157604,6321115760,SOUP,Campbell's Wedding Soup Italian 540 ml,Campbell's,"Campbell Company of Canada
60 Birmingham Street
Toronto Ontario M8V 2B8",Canada,540,mL,,Ambient,Refrigerate unused portions promptly,2016-04-13,,,"A perfect marriage of all-beef meatballs & herbs
Ready to serve soup
No artificial colours or flavours","Directions: Do not add water
Stir before serving. : General : Cooking Instructions
Heat, covered in a microwaveable bowl on High for 2-4 minutes. : From Ambient : Microwave
Stove Top: Heat and serve. : From Ambient : Hob","Chicken broth (water, chicken stock),Cooked beef meatballs (soy),Spinach,Acini pasta (wheat flour, egg white),Potato starch,Salt,Dehydrated onions,Flavour (yeast extract),Parmesan cheese (milk),Dehydrated garlic,Monosodium glutamate,Spices,Disodium guanylate,Disodium inosinate,Beta carotene",,"Per 250 mL
Calories: 120,Fat: 4 g,Saturated: 1.5 g,+ Trans: 0.1 g,Cholesterol: 10 mg,Sodium: 780 mg,Carbohydrate: 14 g,Fibre: 2 g,Sugars: 2 g,Protein: 8 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat: 6 %,Saturated: 8 %,+ Trans,Cholesterol,Sodium: 33 %,Carbohydrate: 5 %,Fibre: 8 %,Sugars,Protein,Vitamin A: 4 %,Vitamin C: 0 %,Calcium: 4 %,Iron: 8 %",Per 250 mL,250,mL,,,120,,,,4,6,,1.5,0.1,8,,,,,,14,5,,2,8,,,,2,,,,,8,10,,,780,33,,,,,,4,,,8,,,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,,Nielsen,
97,063211162332,6321116233,SOUP,Campbell's Chunky Chicken & Sausage Gumbo 540 ml,Campbell's,"Campbell Company of Canada
60 Birmingham Street
Toronto Ontario M8V 2B8",,540,mL,,Ambient,Refrigerate unused portions promptly,2016-04-20,,,"Pub inspired
Soup that eats like a meal","Directions
Do not add water. : General : Cooking Instructions
Empty contents into microwave-safe container. Cover and microwave on high for 2-4 minutes or until hot, stirring once. : From Ambient : Microwave
Stove Top: Heat and serve. : From Ambient : Other","Water,Red kidney beans,Seasoned beef (beef, water, salt, sodium phosphate),Tomato paste,Diced tomatoes (tomatoes, tomato juice, citric acid, calcium chloride),Celery,Red peppers,Green peppers,Modified corn starch,Spices (chili pepper),Flavour (yeast extract, disodium guanylate, disodium inosinate),Potato starch,Dehydrated onions,Sugar,Salt,Dehydrated onions,Sugar,Salt,Dehydrated garlic,Potassium chloride (salt substitute)",,"Per 250 mL
Calories: 150,Fat : 5 g,Saturated: 1.5 g,+ Trans : 0 g,Cholesterol : 15 mg,Sodium : 0.65 g,Potassium : 300 mg,Carbohydrate : 19 g,Fibre : 2 g,Sugars : 5 g,Protein : 8 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat : 8 %,Saturated: 8 %,+ Trans ,Cholesterol ,Sodium : 27 %,Potassium : 9 %,Carbohydrate : 6 %,Fibre : 8 %,Sugars ,Protein ,Vitamin A: 4 %,Vitamin C: 2 %,Calcium: 4 %,Iron: 8 %",Per 250 mL,250,mL,,,150,,,,5,8,,1.5,0,8,,,,,,19,6,,2,8,,,,5,,,,,8,15,,,650,27,,300,9,,,4,,,8,,,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,,Nielsen,
98,063211005561,6321100556,SOUP,Campbell's Chunky BBQ Chipotle Sirloin Burger 540 ml,Campbell's,"Campbell Company of Canada
60 Birmingham Street
Toronto Ontario M8V 2B8",,540,mL,,Ambient,Refrigerate unused portions promptly,2016-03-30,,,"Soup that eats like a meal
Ready to serve soup
No artificial colours or flavours","Directions
Do not add water. : General : Cooking Instructions
Microwave: Empty contents into microwave-safe container. Cover and microwave on High for 2-4 minutes or until hot, stirring once. : From Ambient : Microwave
Stove Top: Heat and serve. : From Ambient : Other","Beef broth (water, beef stock),Potatoes,Carrots,Seasoned sirloin burger,Green beans,Tomato paste,Peas,Sugar,Wheat flour,Potato starch,Hot sauce (cayenne peppers, vinegar, salt, garlic),Canola or soybean oil,Corn starch,Salt,Hydrolyzed protein (soy, corn, wheat),Yeast extract,Monosodium glutamate,Caramel,Seasoning,Beer flavour",,"Per 250 mL
Calories: 200,Fat : 6 g, Saturated: 2 g, + Trans: 0.3 g,Cholesterol : 15 mg,Sodium : 720 mg,Potassium : 480 mg,Carbohydrate : 29 g, Fibre : 3 g, Sugars: 10 g,Protein : 8 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat : 9 %, Saturated: 12 %, + Trans,Cholesterol ,Sodium : 30 %,Potassium : 14 %,Carbohydrate : 10 %, Fibre : 12 %, Sugars,Protein ,Vitamin A: 8 %,Vitamin C: 2 %,Calcium: 4 %,Iron: 10 %",Per 250 mL,250,mL,,,200,,,,6,9,,2,0.3,12,,,,,,29,10,,3,12,,,,10,,,,,8,15,,,720,30,,480,14,,,4,,,10,,,8,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,,Nielsen,
99,063211005509,6321100550,SOUP,Campbell's Chunky Beef 540 ml,Campbell's,"Campbell Company of Canada
60 Birmingham Street
Toronto Ontario M8V 2B8",,540,mL,,Ambient,Refrigerate unused portions promptly,2016-03-30,,,"Soup that eats like a meal
Improved recipe!
8 g of protein per 250 ml
Ready to serve soup
No artificial colours or flavours","Directions
Do not add water. : General : Cooking Instructions
Microwave: Empty contents into microwave-safe container. Cover and microwave on High for 2-4 minutes or until hot, stirring once. : From Ambient : Microwave
Stove Top: Heat and serve. : From Ambient : Other","Beef broth (water, beef stock),Carrots,Potatoes,Seasoned beef,Peas,Tomato paste,Potato starch,Celery,Corn starch,Wheat flour,Canola or soybean oil,Yeast extract,Salt,Monosodium glutamate,Hydrolyzed protein (soy, corn, wheat),Caramel,Flavour,Seasoning,Dehydrated garlic,Onion powder,Beer flavour,Parsley flakes",,"Per 250 mL
Calories: 160,Fat : 3.5 g, Saturated: 1 g, + Trans: 0 g,Cholesterol: 15 mg,Sodium : 750 mg,Potassium : 500 mg,Carbohydrate : 23 g, Fibre: 3 g, Sugars: 4 g,Protein : 8 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat : 5 %, Saturated: 5 %, + Trans,Cholesterol,Sodium : 31 %,Potassium : 14 %,Carbohydrate : 8 %, Fibre: 12 %, Sugars,Protein ,Vitamin A: 8 %,Vitamin C: 2 %,Calcium: 2 %,Iron: 10 %",Per 250 mL,250,mL,,,160,,,,3.5,5,,1,0,5,,,,,,23,8,,3,12,,,,4,,,,,8,15,,,750,31,,500,14,,,2,,,10,,,8,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,,Nielsen,
100,063211005950,6321100595,SOUP,Campbell's Chunky Chicken Vegetable Pot Pie 540 ml,Campbell's,"Campbell Company of Canada
60 Birmingham Street
Toronto Ontario M8V 2B8",,540,mL,,Ambient,Refrigerate unused portions promptly,2016-04-07,,,"Ready to serve soup
Soup that eats like a meal
No artificial colours or flavours","Directions
Do not add water. : General : Cooking Instructions
Microwave: Empty contents into microwave-safe container. Cover and microwave on High for 2-4 minutes or until hot, stirring once. : From Ambient : Microwave
Stove Top: Heat and serve. : From Ambient : Other","Water,Seasoned chicken,Carrots,Spaetzel dumplings (wheat flour, malted barley flour, eggs, salt, wheat gluten, turmeric),Canola or soybean oil,Peas,Modified corn starch,Corn,Flavour,Wheat flour,Salt,Chicken fat,Monosodium glutamate,Sugar,Soy protein isolate,Yeast extract,Onion powder,Spices,Parsley flakes,Beta carotene",,"Per 250 mL
Calories: 200,Fat : 12 g, Saturated: 2 g, + Trans: 0 g,Cholesterol: 30 mg,Sodium : 850 mg,Carbohydrate : 16 g, Fibre : 2 g, Sugars : 3 g,Protein : 6 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat : 18 %, Saturated: 10 %, + Trans,Cholesterol,Sodium : 35 %,Carbohydrate : 5 %, Fibre : 8 %, Sugars ,Protein ,Vitamin A: 6 %,Vitamin C: 2 %,Calcium: 2 %,Iron: 6 %",Per 250 mL,250,mL,,,200,,,,12,18,,2,0,10,,,,,,16,5,,2,8,,,,3,,,,,6,30,,,850,35,,,,,,2,,,6,,,6,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,,Nielsen,
101,063211005240,6321100524,SOUP,Campbell's Chunky New England Clam Chowder 540 ml,Campbell's,"Campbell Company of Canada
60 Birmingham Street
Toronto Ontario M8V 2B8",,540,mL,,Ambient,Refrigerate unused portions promptly,2016-03-30,,,"Soup that eats like a meal
Ready to serve soup
No artificial colours or flavours","Directions
Do not add water. : General : Cooking Instructions
Microwave: Empty contents into microwave-safe container. Cover and microwave on High for 2-4 minutes or until hot, stirring once. : From Ambient : Microwave
Stove Top: Heat and serve. : From Ambient : Other","Water,Potatoes,Seasoned clams (clams, water, modified corn starch, sodium phosphate),Canola or soybean oil,Wheat flour,Modified corn starch,Butter (milk),Flavour (cod),Soy protein concentrate,Salt,Monosodium glutamate,Potassium chloride (salt substitute),Sugar,Yeast extract,Spices,Sea salt",,"Per 250 mL
Calories: 250,Fat : 15 g, Saturated: 3 g, + Trans: 0.1 g,Cholesterol: 10 mg,Sodium : 630 mg,Potassium : 610 mg,Carbohydrate: 22 g, Fibre : 2 g, Sugars : 2 g,Protein : 6 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat : 23 %, Saturated: 16 %, + Trans,Cholesterol,Sodium : 26 %,Potassium : 17 %,Carbohydrate: 7 %, Fibre : 8 %, Sugars ,Protein ,Vitamin A: 0 %,Vitamin C: 0 %,Calcium: 2 %,Iron: 8 %",Per 250 mL,250,mL,,,250,,,,15,23,,3,0.1,16,,,,,,22,7,,2,8,,,,2,,,,,6,10,,,630,26,,610,17,,,2,,,8,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,,Nielsen,
102,063211005684,6321100568,SOUP,Campbell's Chunky Pepper Steak and Potato 540 ml,Campbell's,"Campbell Company of Canada
60 Birmingham Street
Toronto Ontario M8V 2B8",,540,mL,,Ambient,Refrigerate unused portions promptly,2016-03-30,,,"Made with steak spice
Ready to serve soup
Soup that eats like a meal
No artificial colours or flavours","Directions
Do not add water. : General : Cooking Instructions
Microwave: Empty contents into microwave-safe container. Cover and microwave on High for 2-4 minutes or until hot, stirring once. : From Ambient : Microwave
Stove Top: Heat and serve. : From Ambient : Other","Beef broth (water, beef stock),Potatoes,Mushrooms,Seasoned beef,Tomato paste,Modified corn starch,Wheat flour,Canola or soybean oil,Potato starch,Salt,Seasoning (mustard),Yeast extract,Hydrolyzed protein (soy, corn, wheat),Monosodium glutamate,Caramel",,"Per 250 mL
Calories: 160,Fat : 3.5 g, Saturated: 0.5 g, + Trans: 0 g,Cholesterol: 15 mg,Sodium : 830 mg,Potassium : 560 mg,Carbohydrate : 23 g, Fibre : 3 g, Sugars : 2 g,Protein : 8 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat : 5 %, Saturated: 3 %, + Trans,Cholesterol,Sodium : 35 %,Potassium : 16 %,Carbohydrate : 8 %, Fibre : 12 %, Sugars ,Protein ,Vitamin A: 0 %,Vitamin C: 2 %,Calcium: 2 %,Iron: 10 %",Per 250 mL,250,mL,,,160,,,,3.5,5,,0.5,0,3,,,,,,23,8,,3,12,,,,2,,,,,8,15,,,830,35,,560,16,,,2,,,10,,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,,Nielsen,
103,063211134445,6321113444,SOUP,Campbell's Chunky Prime Rib with Vegetables 540 ml,Campbell's,"Campbell Company of Canada
60 Birmingham Street
Toronto Ontario M8V 2B8",,540,mL,,Ambient,Refrigerate unused portions promptly,2016-03-30,,,"Improved recipe!
Soup that eats like a meal
Ready to serve soup
8 g of protein per 250 ml
No artificial colours or flavours","Do not add water : General : Cooking Instructions
Microwave: Empty contents into microwave-safe container. Cover and microwave on high for 2-4 minutes or until hot, stirring once. : From Ambient : Microwave
Stove Top: Heat and serve : From Ambient : Hob","Beef broth (water, beef stock),Carrots,Potatoes,Seasoned prime rib,Green beans,Tomato paste,Wheat flour,Modified corn starch,Dehydrated onions,Flavour,Potato starch,Red wine,Sugar,Monosodium glutamate,Salt,Dehydrated garlic,Caramel,Ascorbic and citric acid,Spice",,"Per 250 mL
Calories: 130,Fat: 1.5 g,Saturated: 0.5 g,+ Trans: 0 g,Cholesterol: 10 mg,Sodium: 770 mg,Potassium: 490 mg,Carbohydrate: 22 g,Fibre: 3 g,Sugars: 7 g,Protein: 8 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat: 2 %,Saturated: 3 %,+ Trans,Cholesterol,Sodium: 32 %,Potassium: 14 %,Carbohydrate: 7 %,Fibre: 12 %,Sugars,Protein,Vitamin A: 15 %,Vitamin C: 4 %,Calcium: 4 %,Iron: 10 %",Per 250 mL,250,mL,,,130,,,,1.5,2,,0.5,0,3,,,,,,22,7,,3,12,,,,7,,,,,8,10,,,770,32,,490,14,,,4,,,10,,,15,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,,Nielsen,
104,063211000054,6321100005,SOUP,Campbell's Chunky Ready to Serve Soup Chicken À La King 540 ml,Campbell's,"Campbell Company of Canada
60 Birmingham Street
Toronto Ontario M8V 2B8",,540,mL,,Ambient,Refrigerate unused portions promptly,2016-04-13,,,"Soup that eats like a meal
Improved recipe!
No artificial colours or flavours","Directions
Do not add water. : General : Cooking Instructions
Empty contents into microwave-safe container. Cover and microwave on high for 2-4 minutes or until hot, stirring once. : From Ambient : Microwave
Stove Top: Heat and serve. : From Ambient : Other","Chicken broth (water, chicken stock),Mushrooms,Seasoned chicken,Canola or soybean oil,Cream (milk),Modified corn starch,Red peppers,Wheat flour,Chicken fat,Sugar,Salt,Flavour (yeast extract),Soy protein isolate,Monosodium glutamate,Spice extracts,Beta carotene,Dehydrated garlic",,"Per 250 mL
Calories: 250,Fat: 19 g, Saturated: 4 g, + Trans: 0 g,Cholesterol: 25 mg,Sodium: 900 mg,Carbohydrate: 12 g, Fibre: 2 g, Sugars: 3 g,Protein: 7 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat: 29 %, Saturated: 20 %, + Trans,Cholesterol,Sodium: 38 %,Carbohydrate: 4 %, Fibre: 8 %, Sugars,Protein,Vitamin A: 4 %,Vitamin C: 0 %,Calcium: 2 %,Iron: 6 %",Per 250 mL,250,mL,,,250,,,,19,29,,4,0,20,,,,,,12,4,,2,8,,,,3,,,,,7,25,,,900,38,,,,,,2,,,6,,,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,,Nielsen,
105,063211005523,6321100552,SOUP,Campbell's Chunky Ready to Serve Soup Chicken Noodle 540 ml,Campbell's,"Campbell Company of Canada
60 Birmingham Street
Toronto Ontario M8V 2B8",,540,mL,,Ambient,Refrigerate unused portions promptly,2016-04-13,,,"Soup that eats like a meal
Improved recipe!
No artificial colours or flavours","Directions
Do not add water. : General : Cooking Instructions
Microwave: Empty contents into microwave-safe container. Cover and microwave on high for 2-4 minutes or until hot, stirring once. : From Ambient : Microwave
Stove Top: Heat and serve. : From Ambient : Other","Chicken broth (water, chicken stock),Seasoned chicken (soy),Carrots,Celery,Egg noodles (wheat flour, whole egg, egg white),Modified corn starch,Flavour,Salt,Chicken fat,Monosodium glutamate,Potassium chloride (salt substitute),Yeast extract,Onion powder,Hydrolyzed wheat gluten,Spice extracts (mustard),Parsley flakes,Beta carotene,Dehydrated garlic",,"Per 250 mL
Calories: 120,Fat: 3 g, Saturated: 1 g, + Trans: 0 g,Cholesterol: 20 mg,Sodium: 850 mg,Potassium: 660 mg,Carbohydrate: 15 g, Fibre: 2 g, Sugars: 3 g,Protein: 7 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat: 5 %, Saturated: 5 %, + Trans,Cholesterol,Sodium: 35 %,Potassium: 19 %,Carbohydrate: 5 %, Fibre: 8 %, Sugars,Protein,Vitamin A: 8 %,Vitamin C: 0 %,Calcium: 2 %,Iron: 6 %",Per 250 mL,250,mL,,,120,,,,3,5,,1,0,5,,,,,,15,5,,2,8,,,,3,,,,,7,20,,,850,35,,660,19,,,2,,,6,,,8,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,,Nielsen,
106,063211005608,6321100560,SOUP,Campbell's Chunky Ready to Serve Soup Chicken with Rice 540 ml,Campbell's,"Campbell Company of Canada
60 Birmingham Street
Toronto Ontario M8V 2B8",,540,mL,,Ambient,Refrigerate unused portions promptly,2016-04-13,,,"Soup that eats like a meal
Improved recipe!
No artificial colours or flavours","Directions
Do not add water. : General : Cooking Instructions
Microwave: Empty contents into microwave-safe container. Cover and microwave on high for 2-4 minutes or until hot, stirring once. : From Ambient : Microwave
Stove Top: Heat and serve. : From Ambient : Other","Chicken broth (water, chicken stock),Seasoned chicken (soy),Carrots,Potatoes,Rice and wild rice,Diced tomatoes (tomatoes, tomato juice, citric acid, calcium chloride),Celery,Potato starch,Flavour,Dehydrated onions,Salt,Chicken fat,Sugar,Monosodium glutamate,Barley yeast extract,Dehydrated garlic,Beta carotene",,"Per 250 mL
Calories: 110,Fat: 2.5 g, Saturated: 1 g, + Trans: 0 g,Cholesterol: 15 mg,Sodium: 770 mg,Potassium: 250 mg,Carbohydrate: 17 g, Fibre: 2 g, Sugars: 3 g,Protein: 6 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat: 4 %, Saturated: 5 %, + Trans,Cholesterol,Sodium: 32 %,Potassium: 7 %,Carbohydrate: 6 %, Fibre: 8 %, Sugars,Protein,Vitamin A: 8 %,Vitamin C: 0 %,Calcium: 4 %,Iron: 6 %",Per 250 mL,250,mL,,,110,,,,2.5,4,,1,0,5,,,,,,17,6,,2,8,,,,3,,,,,6,15,,,770,32,,250,7,,,4,,,6,,,8,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,,Nielsen,
